problem,type,objective,budget,stopping_criterium,instance
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_50_10_06.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_50_20_06.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_100_5_06.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_100_10_06.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_100_20_06.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_200_10_06.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_200_20_06.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_500_20_06.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_20_5_07.dat  
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_20_10_07.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_20_20_07.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_50_5_07.dat  
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_50_10_07.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_50_20_07.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_100_5_07.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_100_10_07.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_100_20_07.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_200_10_07.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_200_20_07.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_500_20_07.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_20_5_08.dat  
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_20_10_08.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_20_20_08.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_50_5_08.dat  
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_50_10_08.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_50_20_08.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_100_5_08.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_100_10_08.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_100_20_08.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_200_10_08.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_200_20_08.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_500_20_08.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_20_5_09.dat  
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_20_10_09.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_20_20_09.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_50_5_09.dat  
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_50_10_09.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_50_20_09.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_100_5_09.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_100_10_09.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_100_20_09.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_200_10_09.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_200_20_09.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_500_20_09.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_20_5_10.dat  
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_20_10_10.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_20_20_10.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_50_5_10.dat  
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_50_10_10.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_50_20_10.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_100_5_10.dat 
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_100_10_10.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_100_20_10.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_200_10_10.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_200_20_10.dat
FSP,PERM,MAKESPAN,med,FIXEDTIME,taillard_rand_500_20_10.dat
